1472569924.1748062: rece_time:1472569924.175425053
1472569925.1768552: rece_time:1472569925.177352905
1472569926.1769566: rece_time:1472569926.177409887
1472569927.1773392: rece_time:1472569927.177922010
1472569928.1769120: rece_time:1472569928.177464008
1472569929.1772928: rece_time:1472569929.177869081
1472569930.1780777: rece_time:1472569930.178776979
1472569931.1769611: rece_time:1472569931.177498102
1472569932.1770848: rece_time:1472569932.177674055
1472569933.1773005: rece_time:1472569933.177925110
1472569934.1772730: rece_time:1472569934.177876949
1472569935.1777965: rece_time:1472569935.178354979
1472569937.1774842: rece_time:1472569937.177970886
1472569938.1775393: rece_time:1472569938.178056955
1472569939.1772670: rece_time:1472569939.177829981
1472569940.1777377: rece_time:1472569940.178339005
1472569941.1782062: rece_time:1472569941.178790092
1472569942.1776709: rece_time:1472569942.178280115
1472569943.1775542: rece_time:1472569943.178195000
1472569944.1786563: rece_time:1472569944.179338932
1472569945.1779961: rece_time:1472569945.178473949
1472569946.1777084: rece_time:1472569946.178278923
1472569947.1777191: rece_time:1472569947.178318977
1472569948.1777338: rece_time:1472569948.178308964
1472569949.1792418: rece_time:1472569949.179857969
1472569950.1778806: rece_time:1472569950.178467035
1472569951.1798544: rece_time:1472569951.180315971
1472569952.1779723: rece_time:1472569952.178528070
1472569953.1783748: rece_time:1472569953.178926945
1472569954.1779651: rece_time:1472569954.178550005
1472569955.1779588: rece_time:1472569955.178612947
1472569956.1791593: rece_time:1472569956.179724932
1472569957.1780169: rece_time:1472569957.178678036
1472569958.1780932: rece_time:1472569958.178656101
1472569959.1783365: rece_time:1472569959.178761005
1472569960.1782520: rece_time:1472569960.178837061
1472569961.1783144: rece_time:1472569961.178819895
1472569962.1789181: rece_time:1472569962.179399967
1472569963.1783654: rece_time:1472569963.178941965
1472569964.1785476: rece_time:1472569964.179049969
1472569965.1795930: rece_time:1472569965.180001974
1472569966.1785719: rece_time:1472569966.179086924
1472569967.1785950: rece_time:1472569967.179131031
1472569968.1790663: rece_time:1472569968.179666996
1472569969.1785067: rece_time:1472569969.179044008
1472569970.1787013: rece_time:1472569970.179224968
1472569971.1786637: rece_time:1472569971.179219961
1472569972.1786703: rece_time:1472569972.179289103
1472569973.1789822: rece_time:1472569973.179564953
1472569974.1787537: rece_time:1472569974.179316998
1472569975.1788131: rece_time:1472569975.179327011
1472569976.1789697: rece_time:1472569976.179430962
1472569977.1788409: rece_time:1472569977.179373980
1472569978.1790531: rece_time:1472569978.179539919
1472569979.1797132: rece_time:1472569979.180282116
1472569980.1798606: rece_time:1472569980.180411100
1472569981.1790391: rece_time:1472569981.179589033
1472569982.1790669: rece_time:1472569982.179663897
1472569983.1796635: rece_time:1472569983.180258989
1472569984.1792094: rece_time:1472569984.179789066
1472569985.1794572: rece_time:1472569985.179966927
1472569986.1791330: rece_time:1472569986.179734945
1472569988.1791901: rece_time:1472569988.179743052
1472569989.1795886: rece_time:1472569989.180161953
1472569990.1794125: rece_time:1472569990.179960966
1472569991.1793684: rece_time:1472569991.179950953
1472569992.1794016: rece_time:1472569992.179989100
1472569993.1793891: rece_time:1472569993.179841995
1472569994.1798442: rece_time:1472569994.180455923
1472569995.1794986: rece_time:1472569995.180011988
1472569996.1795395: rece_time:1472569996.180119038
1472569997.1796757: rece_time:1472569997.180212975
1472569998.1795724: rece_time:1472569998.180119038
1472569999.1808175: rece_time:1472569999.181355000
1472570001.1799410: rece_time:1472570001.180444956
1472570002.1797658: rece_time:1472570002.180375099
1472570003.1801148: rece_time:1472570003.180754900
1472570004.1800115: rece_time:1472570004.180640936
1472570005.1801428: rece_time:1472570005.180712938
1472570006.1799628: rece_time:1472570006.180613041
1472570007.1799386: rece_time:1472570007.180391073
1472570008.1806612: rece_time:1472570008.181241035
1472570009.1806643: rece_time:1472570009.181253910
1472570011.1805149: rece_time:1472570011.181068897
1472570012.1801430: rece_time:1472570012.180586100
1472570013.1804192: rece_time:1472570013.180980921
1472570015.1803884: rece_time:1472570015.180788040
1472570016.1806052: rece_time:1472570016.181205034
1472570017.1806759: rece_time:1472570017.181251049
